,ChatGPT,2023 Cricket World Cup,Oppenheimer (film),J. Robert Oppenheimer,Cricket World Cup,Jawan (film),Taylor Swift,The Last of Us (TV series),Pathaan (film),Premier League,Barbie (film),Cristiano Ronaldo,The Idol (TV series),United States,Matthew Perry,Lionel Messi,Animal (2023 film),Elon Musk,India,Avatar: The Way of Water,Lisa Marie Presley,Guardians of the Galaxy Vol. 3,Russian invasion of Ukraine,Leo (2023 Indian film),2023 Israel–Hamas war,Israel,Andrew Tate,Elizabeth II,David Beckham,Fast X,Sinéad O'Connor,Spider,Elvis Presley,Killers of the Flower Moon (film),Twitter,Travis Kelce,The Super Mario Bros. Movie,Pedro Pascal,Charles III,Donald Trump,Tina Turner,Indiana Jones and the Dial of Destiny,Joe Biden,John Wick: Chapter 4,Gadar 2,Everything Everywhere All at Once,Margot Robbie,Jeffrey Dahmer,2022 Russian invasion of Ukraine,2022 FIFA World Cup
It,6,1,17,12,3,13,7,9,13,7,18,4,2,20,2,4,0,3,18,22,11,9,7,9,9,14,3,5,9,20,6,16,30,11,10,7,12,1,12,4,30,16,8,7,3,19,1,5,7,14
credited,1,0,1,0,1,0,6,0,0,0,2,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,1,1,6,1,0,0,0,0,0,1,4,1,3,0,0,1,1,0,0,0
accelerating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
led,2,1,1,7,0,0,3,4,0,3,1,7,0,13,1,10,0,7,6,1,0,1,5,1,3,14,1,3,9,2,0,4,7,0,2,4,2,1,3,4,3,0,12,0,0,0,3,3,5,8
ongoing,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,5,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
rapid,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
investment,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
public,10,0,3,9,0,2,6,0,1,2,6,3,0,14,0,7,0,10,6,3,7,0,7,2,4,8,1,29,6,1,2,0,6,0,24,0,0,0,14,21,3,0,12,0,0,0,1,0,7,4
